DATE,DAY,GAME TIME,BYH TEAM,GAME LOCATION,EVENT TYPE,OPPONENT,NOTES,CONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,8:00 AM,PEE WEE REC WHITE,PATTERSON PARK,LEAGUE,CHEVY CHASE RED,,11/12/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/12,SUNDAY,5:30 PM,MIDGET REC WHITE,FORT DUPONT,LEAGUE,NOVA 2,,11/12/12 - BLL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,2:30 PM,BANTAM UPPER A,SKATE FREDERICK,LEAGUE,FREDERICK,,11/27/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,3:25 PM,PEE WEE B,RESTON - OLYMPIC,LEAGUE,RESTON,,11/30/12 - TRACY COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,3:15 PM,RAPIDS U12,ROCKVILLE #1,LEAGUE,MONTGOMERY,,11/25/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,11:00 AM,SQUIRT B,REISTERSTOWN,LEAGUE,HAGERSTOWN,SAT DAY,11/27/12 - LAURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,5:10 PM,U18 LOWER A,MT PLEASANT,LEAGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,10:45 AM,MIDGET REC BLACK,MT PLEASANT,LEAGUE,BOWIE BLACK,,11/26/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,6:50 PM,MIDGET REC WHITE,MT PLEASANT,LEAGUE,BOWIE GOLD,,11/26/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,11:00 AM,PEE WEE REC WHITE,LAUREL,LEAGUE,TRI-CITY FALCONS,,11/26/12 - NIKKI GOLDSCHMIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,12:30 PM,BANTAM REC,LAUREL,LEAGUE,TRI-CITY FALCONS,,11/26/12 - NIKKI GOLDSCHMIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/12,SATURDAY,12:45 PM,SQUIRT REC,PINEY ORCHARD,LEAGUE,METRO,,11/26/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,10:45 AM,PEE WEE B,MT PLEASANT,LEAGUE ,PRINCE WILLIAM,,11/25/12 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,10:50 AM,PEE WEE LOWER A,BOWIE,LEAGUE,BOWIE,,11/26/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,12:25 PM,SQUIRT UPPER A,BOWIE,LEAGUE,BOWIE,,11/26/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,9:45 AM,BANTAM REC,REISTERSTOWN,NON-LEAGUE,LANCASTER FIRE BIRDS,,11/26/12 - JULIE OTTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,11:30 AM,RAPIDS U12,REISTERSTOWN,LEAGUE,NOVA 1,,11/26/12 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,1:15 PM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,9:00 AM,SQUIRT REC,MT PLEASANT,LEAGUE,NOVA 1,,11/27/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
